x,Curve1,Curve2,Curve3,Curve4
70.9477,0.92197,0.78536,0.50464,0.39596
71.011,0.91386,0.77766,0.50232,0.39507
71.0468,0.90927,0.7733,0.50101,0.3946
71.1034,0.90201,0.76637,0.49894,0.39385
71.2953,0.87704,0.74253,0.4919,0.39043
71.3804,0.86567,0.73174,0.48874,0.38813
71.4303,0.85888,0.72534,0.48686,0.38651
71.6026,0.83507,0.70286,0.4802,0.37976
71.6865,0.82347,0.69167,0.47683,0.37633
71.7499,0.81481,0.68311,0.47429,0.37384
71.9295,0.79133,0.65912,0.46776,0.36777
72.0559,0.7763,0.64349,0.4642,0.36462
72.0583,0.77602,0.6432,0.46414,0.36457
72.1192,0.7693,0.63628,0.46279,0.36332
72.4686,0.73466,0.60066,0.45749,0.35776
72.5153,0.73018,0.59603,0.45691,0.35706
72.5536,0.72647,0.59222,0.45643,0.35646
72.579,0.724,0.5897,0.45611,0.35605
72.8813,0.69433,0.56051,0.45171,0.35063
72.9478,0.68803,0.55558,0.45075,0.34943
72.9663,0.68632,0.5546,0.45051,0.34911
72.9709,0.68589,0.55434,0.45046,0.34903
73.0333,0.68024,0.5498,0.44969,0.348
73.4007,0.64884,0.51572,0.4439,0.34242
73.4676,0.64322,0.50964,0.44274,0.34138
73.4685,0.64314,0.50956,0.44272,0.34136
73.4916,0.6412,0.5075,0.44232,0.341
73.8567,0.61137,0.47696,0.43579,0.33513
73.9888,0.60131,0.46681,0.43339,0.33298
74.3344,0.57657,0.44295,0.42709,0.32739
74.4664,0.56745,0.43469,0.42468,0.3253
74.4896,0.56587,0.43327,0.42425,0.32494
74.812,0.54444,0.41367,0.41835,0.32006
74.9439,0.53604,0.40553,0.41595,0.31807
75.0103,0.53184,0.40134,0.41475,0.31691
75.0743,0.52776,0.39721,0.4136,0.31426
75.0754,0.52769,0.39714,0.41358,0.31423
75.2679,0.515,0.38396,0.41026,0.31134
75.4646,0.50102,0.36975,0.40792,0.30831
75.5303,0.4963,0.36509,0.40736,0.30727
75.5961,0.49162,0.36052,0.40678,0.3062
75.7239,0.48288,0.35187,0.40555,0.3041
75.9636,0.4676,0.33604,0.40257,0.30009
76.0513,0.46212,0.33029,0.40102,0.29861
76.3969,0.44004,0.30733,0.39359,0.29276
76.4843,0.4343,0.3013,0.39186,0.29127
76.529,0.43134,0.29817,0.39101,0.29051
76.9849,0.4008,0.26605,0.38304,0.28282
77.0281,0.39789,0.26326,0.38233,0.28211
77.4389,0.37045,0.23809,0.3758,0.27569
77.439,0.37045,0.23808,0.3758,0.27569
77.4625,0.3689,0.2366,0.37544,0.27536
77.5488,0.36327,0.23104,0.37415,0.27408
77.9185,0.33983,0.20448,0.36853,0.2678
77.9596,0.33722,0.20084,0.36777,0.26712
78.0252,0.33297,0.19441,0.36646,0.26606
78.0261,0.33291,0.19432,0.36645,0.26605
78.1357,0.32533,0.18574,0.36413,0.26435
78.4804,0.3009,0.16679,0.35706,0.25913
78.4811,0.30085,0.16675,0.35705,0.25912
78.5468,0.29634,0.16298,0.35589,0.25802
78.6132,0.29181,0.15897,0.3548,0.25681
78.959,0.2685,0.13492,0.3499,0.24998
79.0228,0.26423,0.13036,0.34903,0.24886
79.1126,0.25822,0.12417,0.34778,0.24737
79.4364,0.23661,0.10431,0.34283,0.24195
79.4364,0.2366,0.10431,0.34283,0.24195
79.5435,0.22944,0.09774,0.341,0.23994
79.5902,0.22631,0.09472,0.34016,0.23901
79.9141,0.20448,0.07023,0.33369,0.23218
79.9571,0.20156,0.06665,0.33279,0.23125
79.9843,0.19972,0.06439,0.33221,0.23066
79.9879,0.19947,0.06408,0.33213,0.23058
